1;;;;
1;;;;
1;;;;
1;;;;
1;;;;
1;;;;
1;;;;
2;Компьютерные технологии лекция;Лунев Д.В.;Актовый зал;9:00-10:25
2;Ин.яз.;;;10:45-12:10
2;Мера и интеграл Лебега;Гусев Н.А.;239 НК;12:20-13:45
2;Дифф.ур.;Пыркова О.А.;413 ГК;13:55-15:20
2;;;;
2;Современные проблемы прикладной математики;;202 НК;17:05-18:30
2;Современные проблемы прикладной математики;;202 НК;18:35-20:00
3;;;;
3;Аналитическая механика;Иванов А.П.;202 НК;10:45-12:10
3;Общая физика;Нухов А.К.;117 ГК;12:20-13:45
3;;;;
3;Доп. главы дискретного анализа;Гордеев Э.Н.;Б.Физ.;15:30-16:55
3;Доп. главы дискретного анализа;Гордеев Э.Н.;Б.Физ.;17:05-18:30
3;;;;
4;Дифференциальные уравнения;Пыркова О.А.;Актовый зал;9:00-10:25
4;;;;
4;Гармонический анализ;Бесов О.В.;Б.Физ.;12:20-13:45
4;Ин.яз.;;;13:55-15:20
4;;;;
4;Алг.и мод.выч.;Горбунов Э.А.;411 ГК;17:05-18:30
4;;;;
5;Общая физика: лаб.практикум;Минаков Д.В._Миславский В.В.;;9:00-10:25
5;Общая физика: лаб.практикум;Минаков Д.В._Миславский В.В.;;10:45-12:10
5;;;;
5;Аналит.мех.;Кузьминых В.А.;419 ГК;13:55-15:20
5;Гармон.ан.;Молчанов Е.Г.;411 ГК;15:30-16:55
5;Компьютерные технологии;Гутник С.А.;317 ЛК;17:05-18:30
5;Компьютерные технологии;Гутник С.А.;317 ЛК;18:35-20:00
6;;;;
6;Общая физика: оптика;Аланакян Ю.Р.;Гл.Физ.;10:45-12:10
6;Алгоритмы и модели вычислений;Тарасов С.П.;239 НК;12:20-13:45
6;;;;
6;;;;
6;;;;
6;;;;
