1; ;;;
1; ;;;
1; ;;;
1; ;;;
1; ;;;
1; ;;;
1; ;;;
2;Компьютерные технологии лекция;Лунев Д.В.;Актовый зал;9:00-10:25
2;Ин.яз.;;;10:45-12:10
2;Мера и интеграл Лебега;Гусев Н.А.;239 НК;12:20-13:45
2; ;;;
2;Дифф.ур.;Пыркова О.А.;413 ГК;15:30-16:55
2;Современные проблемы прикладной математики;;202 НК;17:05-18:30
2;Современные проблемы прикладной математики;;202 НК;18:35-20:00
3;Общая физика;Лапушкин Г.И.;515 ГК;9:00-10:25
3;Аналитическая механика;Иванов А.П.;202 НК;10:45-12:10
3; ;;;
3; ;;;
3;Доп. главы дискретного анализа;Гордеев Э.Н.;Б.Физ.;15:30-16:55
3;Доп. главы дискретного анализа;Гордеев Э.Н.;Б.Физ.;17:05-18:30
3; ;;;
4;Дифференциальные уравнения;Пыркова О.А.;Актовый зал;9:00-10:25
4;Гармон.ан.;Трушин В.Б.;516  ГК;10:45-12:10
4;Гармонический анализ;Бесов О.В.;Б.Физ.;12:20-13:45
4;Ин.яз.;;;13:55-15:20
4; ;;;
4; ;;;
4; ;;;
5; ;;;
5; ;;;
5;Аналит.мех.;Маштаков Я.В.;415 ГК;12:20-13:45
5; ;;;
5;Компьютерные технологии;Бабичев С.Л.;801 КПМ;15:30-16:55
5;Компьютерные технологии;Бабичев С.Л.;801 КПМ;17:05-18:30
5;Алг.и мод.выч.;Останин П.А.;432  ГК;18:35-20:00
6; ;;;
6;Общая физика: оптика;Аланакян Ю.Р.;Гл.Физ.;10:45-12:10
6;Алгоритмы и модели вычислений;Тарасов С.П.;239 НК;12:20-13:45
6;Общая физика: лаб.практикум;Коренев Д.П._Дьячков Н.В.;;13:55-15:20
6;Общая физика: лаб.практикум;Коренев Д.П._Дьячков Н.В.;;15:30-16:55
6; ;;;
6; ;;;
